question,option1,option2,option3,option4,answer
What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Process Unit,Computer Primary Unit,Central Processing Unit
Which protocol is used to send email?,FTP,SMTP,HTTP,SSH,SMTP
What is the binary equivalent of decimal 10?,1010,1001,1100,1011,1010
Which data structure uses FIFO principle?,Stack,Queue,Tree,Graph,Queue
What is the time complexity of binary search?,O(n),O(n log n),O(log n),O(1),O(log n)
Which language is used for Android development?,Swift,Kotlin,Python,Ruby,Kotlin
What is 15% of 200?,15,30,45,60,30
Solve for x: 2x + 5 = 15,5,7,10,12,5
What is the square root of 144?,11,12,13,14,12
What is the value of π (pi) to two decimal places?,3.12,3.14,3.16,3.18,3.14
Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,Saturn
What is the chemical symbol for gold?,Ag,Au,Fe,Hg,Au
What is the hardest natural substance?,Gold,Diamond,Quartz,Graphite,Diamond
Which gas is most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Argon,Nitrogen
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Guglielmo Marconi,Alexander Graham Bell
In which year did World War II end?,1943,1944,1945,1946,1945
Which country hosted the 2020 Summer Olympics?,China,Japan,France,Brazil,Japan
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare
Which artist painted "The Starry Night"?,Pablo Picasso,Vincent van Gogh,Salvador Dalí,Claude Monet,Vincent van Gogh
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,Canberra